"證券代號","證券名稱","成交股數","成交筆數","成交金額","開盤價","最高價","最低價","收盤價","漲跌(+/-)","漲跌價差","最後揭示買價","最後揭示買量","最後揭示賣價","最後揭示賣量","本益比",
"3296","勝德","58,161","12","754,621","13.00","13.00","12.90","13.00"," ","0.00","12.95","1","13.00","19","",
"3305","昇貿","88,049","51","1,827,481","20.80","20.85","20.70","20.80","+","0.05","20.70","5","20.80","9","15.07",
"3308","聯德","8,231","17","48,190","5.72","5.92","5.72","5.90","-","0.03","5.73","2","5.90","4","",
"3311","閎暉","337,052","182","9,934,808","29.15","30.25","29.15","29.20","+","0.05","29.20","7","29.25","1","",
"3312","弘憶股","889,570","384","13,803,373","15.60","15.60","15.45","15.50","+","0.05","15.50","14","15.55","64","11.83",
"3321","同泰","2,421,887","717","30,030,842","12.40","12.40","12.35","12.40","+","1.10","12.40","1,212","--","0","",
"3338","泰碩","2,924,654","2,084","260,836,529","89.50","90.00","88.50","89.00","+","0.40","89.00","6","89.20","7","25.65",
"3356","奇偶","525,594","281","12,001,900","23.05","23.30","22.55","22.65","-","0.30","22.65","2","22.70","1","41.94",
"3376","新日興","2,198,866","1,201","318,519,704","146.00","147.50","143.00","144.00","-","2.50","144.00","44","144.50","30","19.02",
"3380","明泰","6,269,831","4,133","169,429,644","27.20","27.25","26.75","26.95","-","0.25","26.90","3","26.95","278","134.75",
"3383","新世紀","42,418","24","176,352","4.20","4.20","4.14","4.14","-","0.07","4.14","16","4.15","10","",
"3406","玉晶光","16,513,122","13,119","10,633,414,494","621.00","675.00","615.00","627.00","+","7.00","627.00","20","630.00","25","23.06",
"3413","京鼎","2,022,710","1,437","355,116,040","177.00","178.00","173.00","173.00","-","2.50","172.50","44","173.50","10","17.89",
"3416","融程電","134,090","97","7,745,510","58.50","58.50","57.30","58.10","-","0.10","58.00","5","58.10","3","17.77",
"3419","譁裕","425,000","208","6,129,950","14.55","14.55","14.30","14.35","+","0.05","14.35","32","14.45","20","",
"3432","台端","1,104,638","295","14,039,678","12.00","12.95","12.00","12.95","+","1.15","12.95","135","--","0","17.74",
"3437","榮創","6,073,520","2,728","112,709,491","19.35","19.45","18.00","18.00","-","1.10","18.00","122","18.05","7","",
"3443","創意","4,023,331","1,967","882,420,818","220.50","224.50","217.00","217.00","-","2.50","217.00","93","218.00","1","50.23",
"3450","聯鈞","11,206,104","7,324","819,166,838","72.60","74.90","71.50","71.50","-","1.00","71.50","14","71.70","3","37.83",
"3454","晶睿","199,056","160","14,802,425","73.70","75.00","73.70","75.00","+","1.50","74.80","27","75.00","11","23.51",
"3481","群創","230,982,348","33,594","1,855,692,359","8.04","8.19","7.88","7.88","-","0.07","7.88","802","7.89","1,752","",
"3494","誠研","221,001","56","775,533","3.53","3.56","3.48","3.51","-","0.01","3.48","13","3.51","1","",
"3501","維熹","53,186","40","2,459,171","46.45","46.45","46.10","46.20","+","0.10","46.15","4","46.20","2","10.50",
